job_title,company,industry,skills,experience_level,employment_type,location,salary,posted_date,company_size,tools_preferred,data_source
1,Foster and Sons,Healthcare,"NumPy, Reinforcement Learning, PyTorch, Scikit-learn, GCP, FastAPI",Mid,Full-time,"Tracybury, AR",92860-109598,2025-08-20,Large,"KDB+, LangChain",ai_job_market
2,"Boyd, Myers and Ramirez",Tech,"Scikit-learn, CUDA, SQL, Pandas",Senior,Full-time,"Lake Scott, CU",78523-144875,2024-03-22,Large,"FastAPI, KDB+, TensorFlow",ai_job_market
3,King Inc,Tech,"MLflow, FastAPI, Azure, PyTorch, SQL, GCP",Entry,Full-time,"East Paige, CM",124496-217204,2025-09-18,Large,"BigQuery, PyTorch, Scikit-learn",ai_job_market
4,"Cooper, Archer and Lynch",Tech,"Scikit-learn, C++, Pandas, LangChain, AWS, R",Mid,Full-time,"Perezview, FI",50908-123743,2024-05-08,Large,"TensorFlow, BigQuery, MLflow",ai_job_market
5,Hall LLC,Finance,"Excel, Keras, SQL, Hugging Face",Senior,Contract,"North Desireeland, NE",98694-135413,2025-02-24,Large,"PyTorch, LangChain",ai_job_market
6,Ellis PLC,E-commerce,"GCP, Excel, Scikit-learn, MLflow",Senior,Remote,"South Kevin, TZ",92632-180718,2025-08-07,Large,"PyTorch, TensorFlow, FastAPI",ai_job_market
7,Matthews-Moses,Automotive,"Python, Flask, Scikit-learn, GCP",Mid,Full-time,"West Shawn, LR",70575-88594,2024-12-23,Large,"PyTorch, MLflow",ai_job_market
8,Mullins Ltd,Education,"Excel, SQL, Flask",Entry,Internship,"Port Hailey, RU",63032-82144,2024-08-14,Large,BigQuery,ai_job_market
9,Aguilar PLC,Healthcare,"Pandas, LangChain, GCP, Azure",Entry,Internship,"Butlermouth, GB",134239-188504,2025-09-15,Large,"Scikit-learn, LangChain, BigQuery",ai_job_market
10,Parks LLC,Automotive,"Excel, Reinforcement Learning, TensorFlow",Senior,Full-time,"Nicoleshire, BA",79361-165029,2025-08-07,Large,"MLflow, TensorFlow",ai_job_market
11,Vaughan-Ortiz,Tech,"Keras, MLflow, Reinforcement Learning",Entry,Internship,"New Angelatown, LU",99964-125971,2024-01-10,Large,"LangChain, BigQuery, Scikit-learn",ai_job_market
12,"Johnson, Guzman and Hernandez",Finance,"Excel, Reinforcement Learning, Keras, Scikit-learn",Entry,Full-time,"Joychester, LT",63583-132670,2024-03-15,Large,"TensorFlow, PyTorch, BigQuery",ai_job_market
13,Martin and Sons,E-commerce,"C++, Hugging Face, Python, FastAPI",Entry,Full-time,"South Michael, FM",102770-117026,2023-09-27,Startup,LangChain,ai_job_market
14,Frank-Duarte,Retail,"Excel, MLflow, NumPy, Hugging Face, LangChain, FastAPI",Senior,Full-time,"Christianberg, GQ",137004-193975,2024-11-20,Mid,"LangChain, TensorFlow, Scikit-learn",ai_job_market
15,Rogers Ltd,Education,"Pandas, CUDA, NumPy, FastAPI",Mid,Remote,"New Katieborough, FJ",129842-216741,2024-07-08,Large,FastAPI,ai_job_market
16,Wright-Evans,Automotive,"Hugging Face, Scikit-learn, Reinforcement Learning",Senior,Remote,"Stephaniechester, LU",124669-217866,2024-04-06,Startup,TensorFlow,ai_job_market
17,Preston Ltd,E-commerce,"MLflow, R, C++",Entry,Full-time,"South Tim, CZ",137523-180097,2025-05-14,Mid,LangChain,ai_job_market
18,Smith-Moore,Automotive,"Excel, MLflow, Hugging Face, Flask, Power BI",Entry,Internship,"Blevinsburgh, VU",138184-192857,2024-04-29,Startup,BigQuery,ai_job_market
19,Webb and Sons,Healthcare,"AWS, Azure, Power BI, CUDA, Reinforcement Learning, Hugging Face",Senior,Remote,"Parkmouth, CA",100845-159745,2024-10-19,Mid,"BigQuery, FastAPI, KDB+",ai_job_market
20,Gates LLC,E-commerce,"R, CUDA, Power BI, AWS",Mid,Internship,"Stevenhaven, BW",115578-207180,2024-08-29,Large,MLflow,ai_job_market
21,"Whitaker, Walker and Sandoval",Retail,"C++, Power BI, R, SQL, Keras, Azure",Entry,Remote,"Gregorymouth, LV",122521-175168,2024-01-19,Large,"Scikit-learn, BigQuery, PyTorch",ai_job_market
22,Humphrey LLC,Retail,"LangChain, NumPy, CUDA, C++, MLflow, R",Entry,Full-time,"Lake Alexander, RU",62483-105216,2023-12-28,Large,"PyTorch, LangChain",ai_job_market
23,"Adams, Stevenson and Wagner",E-commerce,"CUDA, FastAPI, Scikit-learn, MLflow, Hugging Face",Mid,Remote,"North Nicholas, SN",74317-148899,2024-11-25,Startup,"PyTorch, Scikit-learn, KDB+",ai_job_market
24,"Thomas, Hurst and Becker",Tech,"PyTorch, CUDA, Hugging Face, Flask, C++",Senior,Internship,"Leeton, MW",68115-125323,2023-12-06,Mid,Scikit-learn,ai_job_market
25,Sherman-Nguyen,Healthcare,"Python, Reinforcement Learning, MLflow",Mid,Internship,"Suzanneview, TW",89840-109693,2025-06-13,Mid,FastAPI,ai_job_market
26,Johnson-Keller,Finance,"PyTorch, Reinforcement Learning, FastAPI, Power BI, Python, R",Mid,Remote,"Whitestad, BB",107786-126713,2024-12-20,Mid,"FastAPI, PyTorch, KDB+",ai_job_market
27,Le PLC,Education,"Azure, Flask, FastAPI, Hugging Face, Power BI, Python",Senior,Internship,"Taraburgh, DZ",44309-77284,2025-01-02,Large,"TensorFlow, Scikit-learn, FastAPI",ai_job_market
28,"Abbott, Nielsen and Young",Healthcare,"R, Python, Pandas",Entry,Contract,"New Richard, TD",124616-172767,2025-02-28,Startup,"PyTorch, MLflow",ai_job_market
29,Thomas-Ruiz,Finance,"Flask, Hugging Face, Pandas, Python, Scikit-learn, Keras",Mid,Internship,"South Donaldton, GE",142616-216391,2025-01-31,Startup,"Scikit-learn, FastAPI, LangChain",ai_job_market
30,"Good, Ware and Cruz",Finance,"Scikit-learn, SQL, Azure",Entry,Contract,"North Michael, TT",70932-161568,2024-06-07,Startup,TensorFlow,ai_job_market
31,Gay PLC,Tech,"Keras, Excel, TensorFlow",Senior,Full-time,"Port Patriciaport, TG",54565-94461,2024-06-27,Startup,"KDB+, PyTorch",ai_job_market
