job_title,company,location,salary,skills,data_source,is_ai_role,salary_clean
AI00001,China,50,90376,"Tableau, PyTorch, Kubernetes, Linux, NLP",ai_job_dataset,True,90376.0
AI00002,Canada,100,61895,"Deep Learning, AWS, Mathematics, Python, Docker",ai_job_dataset,True,61895.0
AI00003,Switzerland,0,152626,"Kubernetes, Deep Learning, Java, Hadoop, NLP",ai_job_dataset,True,152626.0
AI00004,India,50,80215,"Scala, SQL, Linux, Python",ai_job_dataset,True,80215.0
AI00005,France,100,54624,"MLOps, Java, Tableau, Python",ai_job_dataset,True,54624.0
AI00006,Germany,50,123574,"Data Visualization, R, SQL, Linux",ai_job_dataset,True,123574.0
AI00007,United Kingdom,0,79670,"R, Docker, MLOps",ai_job_dataset,True,79670.0
AI00008,France,0,70640,"Python, SQL, Computer Vision, Java, Azure",ai_job_dataset,True,70640.0
AI00009,Singapore,0,160710,"Hadoop, Git, Mathematics, Python",ai_job_dataset,True,160710.0
AI00010,Austria,0,102557,"MLOps, GCP, Scala, Azure, Linux",ai_job_dataset,True,102557.0
AI00011,Sweden,100,102322,"MLOps, Python, SQL",ai_job_dataset,True,102322.0
AI00012,South Korea,0,115047,"R, Data Visualization, Python, Azure",ai_job_dataset,True,115047.0
AI00013,France,100,124355,"Tableau, Python, TensorFlow",ai_job_dataset,True,124355.0
AI00014,Norway,0,68760,"Scala, SQL, Statistics",ai_job_dataset,True,68760.0
AI00015,Sweden,100,150122,"PyTorch, Python, Data Visualization, GCP",ai_job_dataset,True,150122.0
AI00016,United Kingdom,0,78846,"Linux, Statistics, Deep Learning",ai_job_dataset,True,78846.0
AI00017,India,100,59823,"Tableau, NLP, Spark",ai_job_dataset,True,59823.0
AI00018,France,100,181139,"MLOps, PyTorch, Azure",ai_job_dataset,True,181139.0
AI00019,Singapore,0,155300,"Git, Hadoop, R, Python, Spark",ai_job_dataset,True,155300.0
AI00020,Netherlands,100,93851,"Java, Scala, NLP, Docker, Computer Vision",ai_job_dataset,True,93851.0
AI00021,Norway,0,134197,"Deep Learning, AWS, Azure",ai_job_dataset,True,134197.0
AI00022,United States,0,102550,"Tableau, Spark, NLP, TensorFlow, PyTorch",ai_job_dataset,True,102550.0
AI00023,Germany,0,99382,"Hadoop, Git, Tableau",ai_job_dataset,True,99382.0
AI00024,Austria,100,52167,"Git, Hadoop, Docker",ai_job_dataset,True,52167.0
AI00025,China,0,53923,"AWS, Azure, Git, SQL, Computer Vision",ai_job_dataset,True,53923.0
AI00026,Israel,100,109779,"Linux, Git, Tableau, Kubernetes, Data Visualization",ai_job_dataset,True,109779.0
AI00027,Australia,50,80979,"Hadoop, Linux, Git, Scala",ai_job_dataset,True,80979.0
AI00028,Austria,0,52997,"Mathematics, Kubernetes, TensorFlow, Tableau, PyTorch",ai_job_dataset,True,52997.0
AI00029,Ireland,50,42819,"Python, Scala, NLP, Mathematics, Git",ai_job_dataset,True,42819.0
AI00030,Israel,100,82083,"Azure, Python, Computer Vision, Kubernetes, TensorFlow",ai_job_dataset,True,82083.0
